03/01/2023 11:43:05.335 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   level : 5
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   x : -1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   y : -1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   pivot : 1
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize | [sandbox.paths]
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   common : C:\Program Files (x86)\Common Files
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   pol : G:\PlayOnline\SquareEnix\PlayOnlineViewer
03/01/2023 11:43:05.335 | DEBUG    |                             AshitaCore::Initialize |   ffxi : G:\PlayOnline\SquareEnix\Final Fantasy XI
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   tetra : G:\PlayOnline\SquareEnix\TetraMaster
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0015 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0016 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0017 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0018 : 2
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0019 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0020 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0021 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0022 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0023 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0024 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0025 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0026 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0027 : -1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0028 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0029 : 20
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0030 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0031 : 1002740646
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0032 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0033 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0034 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0035 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0036 : 2
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0037 : 1920
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0038 : 1080
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0039 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0040 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0041 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0042 : C:\Program Files (x86)\SquareEnix\FINAL FANTASY XI
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0043 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0044 : 1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   0045 : 0
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   padmode000 : 1,0,0,0,1,1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize |   padsin000 : 10,8,16,11,13,0,1,3,2,15,-1,-1,-1,-33,-33,32,32,36,36,-35,-35,6,7,5,4,-1,-1
03/01/2023 11:43:05.336 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
03/01/2023 11:43:05.336 | DEBUG    |                             Properties::Properties | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                           ChatManager::ChatManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                           FontManager::FontManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                             GuiManager::GuiManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |   newIDirectInputDevice8A::newIDirectInputDevice8A | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                             Controller::Controller | null.ctor
03/01/2023 11:43:05.336 | DEBUG    |                                     XInput::XInput | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                         InputManager::InputManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                       MemoryManager::MemoryManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                       OffsetManager::OffsetManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                       PacketManager::PacketManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                       PluginManager::PluginManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                 PolPluginManager::PolPluginManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                     PointerManager::PointerManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                 PrimitiveManager::PrimitiveManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                   ResourceManager::ResourceManager | .ctor
03/01/2023 11:43:05.336 | DEBUG    |                             Properties::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                             Properties::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                           InputManager::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                           InputManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                          OffsetManager::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                          OffsetManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                         PointerManager::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                         PointerManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                          MemoryManager::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                             MemoryManager::Release | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                             MemoryManager::Release | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                          MemoryManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                            ChatManager::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                            ChatManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                          PacketManager::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                          PacketManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                          PluginManager::Initialize | <Begin>
03/01/2023 11:43:05.336 | DEBUG    |                          PluginManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.336 | DEBUG    |                       PolPluginManager::Initialize | <Begin>
03/01/2023 11:43:05.350 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'Common': C:\Program Files (x86)\Common Files
03/01/2023 11:43:05.350 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'PlayOnline': G:\PlayOnline\SquareEnix\PlayOnlineViewer
03/01/2023 11:43:05.350 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'FinalFantasyXI': G:\PlayOnline\SquareEnix\Final Fantasy XI
03/01/2023 11:43:05.350 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'TetraMaster': G:\PlayOnline\SquareEnix\TetraMaster
03/01/2023 11:43:05.350 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: Sandbox - Version: 4.08 - By: atom0s
03/01/2023 11:43:05.359 | INFO     |                                              pivot | Using config file: 'G:\Ashita-v4beta\config\pivot\pivot.ini'
03/01/2023 11:43:05.359 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\pivot\pivot.ini
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | >> pivot settings <<
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | root_path G:\DATs
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | debug_log false
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | redirect_cfw false
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | overlays:
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | [00] XI-View-Icons
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | [01] XI-Vision-Maps
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | [02] HD-Texture-Pack
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | [03] HD-Music-Pack
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | cache: false
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | cache_size: 0
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | cache_max_age: 600
03/01/2023 11:43:05.359 | DEBUG    |                                              pivot | 
03/01/2023 11:43:05.359 | INFO     |                                              pivot | m_logDebug = Discard
03/01/2023 11:43:05.359 | INFO     |                                              pivot | m_rootPath = 'G:\DATs'
03/01/2023 11:43:05.359 | INFO     |                                              pivot | addOverlay: 'XI-View-Icons'
03/01/2023 11:43:05.359 | INFO     |                                              pivot | => success
03/01/2023 11:43:05.359 | INFO     |                                              pivot | addOverlay: 'XI-Vision-Maps'
03/01/2023 11:43:05.359 | WARN     |                                              pivot | WARNING:       12: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/0/12.DAT'
03/01/2023 11:43:05.359 | WARN     |                                              pivot | WARNING:   119051: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/51.DAT'
03/01/2023 11:43:05.359 | WARN     |                                              pivot | WARNING:   119057: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/57.DAT'
03/01/2023 11:43:05.361 | WARN     |                                              pivot | WARNING:    91015: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/91/15.DAT'
03/01/2023 11:43:05.362 | INFO     |                                              pivot | => success
03/01/2023 11:43:05.362 | INFO     |                                              pivot | addOverlay: 'HD-Texture-Pack'
03/01/2023 11:43:05.364 | INFO     |                                              pivot | => success
03/01/2023 11:43:05.364 | INFO     |                                              pivot | addOverlay: 'HD-Music-Pack'
03/01/2023 11:43:05.364 | INFO     |                                              pivot | => success
03/01/2023 11:43:05.516 | INFO     |                                              pivot | m_hooksSet = true
03/01/2023 11:43:05.516 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: pivot - Version: 4.15 - By: Heals
03/01/2023 11:43:05.516 | DEBUG    |                       PolPluginManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.516 | DEBUG    |                             AshitaCore::Initialize | <End> [Status: Ok!]
03/01/2023 11:43:05.516 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <Begin>
03/01/2023 11:43:05.516 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <End> [Status: Ok!]
03/01/2023 11:43:05.516 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <Begin>
03/01/2023 11:43:05.516 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <End> [Status: Ok!]
03/01/2023 11:43:05.516 | DEBUG    |                   Ashita::Hooks::Registry::Install | <Begin>
03/01/2023 11:43:05.516 | DEBUG    |                   Ashita::Hooks::Registry::Install | <End> [Status: Ok!]
03/01/2023 11:43:05.516 | DEBUG    |                     Ashita::Hooks::Window::Install | <Begin>
03/01/2023 11:43:05.516 | DEBUG    |                     Ashita::Hooks::Window::Install | <End> [Status: Ok!]
03/01/2023 11:43:05.516 | DEBUG    |                     Ashita::Hooks::XInput::Install | <Begin>
03/01/2023 11:43:05.516 | DEBUG    |                     Ashita::Hooks::XInput::Install | Failed to obtain handle to 'xinput1_3.dll'. XInput hook will not be implemented.
03/01/2023 11:43:07.034 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline Mask window. [dwExStyle: 8][dwStyle: -2130706432][Pos: -1 x -1][Size: 2561 x 1441]
03/01/2023 11:43:07.034 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline window. [dwExStyle: 0][dwStyle: 13238272][Pos: -2147483648 x -2147483648][Size: 662 x 524]
03/01/2023 11:43:07.045 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
03/01/2023 11:43:11.880 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
03/01/2023 11:44:21.129 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExA | CreateWindowExA - Creating Final Fantasy XI window. [dwExStyle: 768][dwStyle: 13565952][Pos: -2147483648 x -2147483648][Size: 1940 x 1123]
03/01/2023 11:44:21.184 | DEBUG    |       Ashita::Hooks::DirectX::Mine_Direct3DCreate8 | Direct3DCreate8 - Creating new Direct3D instance. [SDKVersion: 220]
03/01/2023 11:44:21.288 | DEBUG    |                       newIDirect3D8::newIDirect3D8 | .ctor
03/01/2023 11:44:21.288 | DEBUG    |                        newIDirect3D8::CreateDevice | Creating a new graphics device..
03/01/2023 11:44:21.307 | DEBUG    |           newIDirect3DDevice8::newIDirect3DDevice8 | .ctor
03/01/2023 11:44:21.307 | DEBUG    |                             AshitaCore::GameLoaded | GameLoaded event invoked.
03/01/2023 11:44:21.307 | DEBUG    |                           ResourceManager::Release | <Begin>
03/01/2023 11:44:21.307 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
03/01/2023 11:44:21.307 | DEBUG    |                        ResourceManager::Initialize | <Begin>
03/01/2023 11:44:21.307 | DEBUG    |                           ResourceManager::Release | <Begin>
03/01/2023 11:44:21.307 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
03/01/2023 11:44:21.321 | DEBUG    |                        ResourceManager::Initialize | <End> [Status: Ok!]
03/01/2023 11:44:21.321 | DEBUG    |                            ResourceManager::Update | <Begin>
03/01/2023 11:44:21.321 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\ashita.datmap.ini
03/01/2023 11:44:21.323 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\custom.datmap.ini
03/01/2023 11:44:21.323 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: G:\Ashita-v4beta\\config\\ashita\custom.datmap.ini
03/01/2023 11:44:21.544 | DEBUG    |                            ResourceManager::Update | Resource parsing completed in: 222.674000ms [Status: 1]
03/01/2023 11:44:21.544 | DEBUG    |                            ResourceManager::Update | <End> [Status: Ok!]
03/01/2023 11:44:21.544 | DEBUG    |                               InputManager::Update | <Begin>
03/01/2023 11:44:21.544 | DEBUG    |                                       Mouse::Mouse | .ctor
03/01/2023 11:44:21.544 | DEBUG    |                                  Mouse::Initialize | <Begin>
03/01/2023 11:44:21.544 | DEBUG    |                                  Mouse::Initialize | <End> [Status: Ok!]
03/01/2023 11:44:21.544 | DEBUG    |                             InputManager::SetMouse | Setting new mouse instance..
03/01/2023 11:44:21.544 | DEBUG    |                               InputManager::Update | <End> [Status: Ok!]
03/01/2023 11:44:21.544 | DEBUG    |                              OffsetManager::Update | <Begin>
03/01/2023 11:44:21.544 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\ashita.offsets.ini
03/01/2023 11:44:21.545 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\custom.offsets.ini
03/01/2023 11:44:21.545 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: G:\Ashita-v4beta\\config\\ashita\custom.offsets.ini
03/01/2023 11:44:21.545 | DEBUG    |                              OffsetManager::Update | <End> [Status: Ok!]
03/01/2023 11:44:21.545 | DEBUG    |                             PointerManager::Update | <Begin>
03/01/2023 11:44:21.545 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\ashita.pointers.ini
03/01/2023 11:44:21.547 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\custom.pointers.ini
03/01/2023 11:44:21.547 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: G:\Ashita-v4beta\\config\\ashita\custom.pointers.ini
03/01/2023 11:44:21.549 | DEBUG    |                             PointerManager::Update | Pointer: (0527E77C) [Ok!] autofollow
03/01/2023 11:44:21.549 | DEBUG    |                             PointerManager::Update | Pointer: (052DA815) [Ok!] castbar
03/01/2023 11:44:21.549 | DEBUG    |                             PointerManager::Update | Pointer: (05386390) [Ok!] chat.addchatmessage
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (054159E0) [Ok!] chat.inputtext.this
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (05271682) [Ok!] chat.logfile
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (05418BF0) [Ok!] chat.parseautotranslate
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (053393D5) [Ok!] chat.parseautotranslate.this
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (052E00F0) [Ok!] chat.parseinputtext
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (052E0112) [Ok!] chat.parseinputtext.this
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (052D751C) [Ok!] clientversion
03/01/2023 11:44:21.551 | DEBUG    |                             PointerManager::Update | Pointer: (03F66533) [Ok!] config.autodisconnect
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (05416CF2) [Ok!] config.languagefilter
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (05263840) [Ok!] entitymap
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (052F4CCB) [Ok!] entitymap.size
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0534A1A6) [Ok!] inventory
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (05377325) [Ok!] inventory.selecteditem
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (053BD332) [Ok!] menu
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0533C470) [Ok!] packets.decryptbuffer
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0533C340) [Ok!] packets.encryptbuffer
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0535AFF0) [Ok!] packets.queuepacket1
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0533CAD0) [Ok!] packets.queuepacket2
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0545E50B) [Ok!] party
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (052F828F) [Ok!] party.statusicons
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (053A561A) [Ok!] player
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (05344C90) [Ok!] player.hasability
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (052F71A4) [Ok!] player.haskeyitem
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0534ECC0) [Ok!] player.hasspell
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0534FBD0) [Ok!] player.joblevels
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (0534FC10) [Ok!] player.jobmasterlevels
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (052EDBDA) [Ok!] player.loginstatus
03/01/2023 11:44:21.552 | DEBUG    |                             PointerManager::Update | Pointer: (052E693F) [Ok!] player.petmp
