02/17/2023 08:38:19.348 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ashita.resources]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   offsets.use_overrides : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   pointers.use_overrides : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   resources.use_overrides : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ashita.window.startpos]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   x : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   y : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ashita.input]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   gamepad.allowbackground : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   gamepad.disableenumeration : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockinput : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   keyboard.blockbindsduringinput : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   keyboard.silentbinds : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   keyboard.windowskeyenabled : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   mouse.blockinput : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   mouse.unhook : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ashita.misc]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   addons.silent : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   aliases.silent : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   plugins.silent : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ashita.polplugins]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   sandbox : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   pivot : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [sandbox.paths]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   common : C:\Program Files (x86)\Common Files
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   pol : G:\PlayOnline\SquareEnix\PlayOnlineViewer
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   ffxi : G:\PlayOnline\SquareEnix\Final Fantasy XI
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   tetra : G:\PlayOnline\SquareEnix\TetraMaster
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ffxi.direct3d8]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbufferformat : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.backbuffercount : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.multisampletype : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.swapeffect : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.enableautodepthstencil : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.autodepthstencilformat : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.flags : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_refreshrateinhz : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   presentparams.fullscreen_presentationinterval : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   behaviorflags.fpu_preserve : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | [ffxi.registry]
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0000 : 6
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0001 : 1920
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0002 : 1080
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0003 : 4096
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0004 : 4096
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0005 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0006 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0007 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0008 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0009 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0010 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0011 : 2
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0012 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0013 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0014 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0015 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0016 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0017 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0018 : 2
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0019 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0020 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0021 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0022 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0023 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0024 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0025 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0026 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0027 : -1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0028 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0029 : 20
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0030 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0031 : 1002740646
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0032 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0033 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0034 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0035 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0036 : 2
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0037 : 1920
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0038 : 1080
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0039 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0040 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0041 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0042 : C:\Program Files (x86)\SquareEnix\FINAL FANTASY XI
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0043 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0044 : 1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   0045 : 0
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   padmode000 : 1,0,0,0,1,1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize |   padsin000 : 10,8,16,11,13,0,1,3,2,15,-1,-1,-1,-33,-33,32,32,36,36,-35,-35,6,7,5,4,-1,-1
02/17/2023 08:38:19.350 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
02/17/2023 08:38:19.350 | DEBUG    |                             Properties::Properties | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                           ChatManager::ChatManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                           FontManager::FontManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                             GuiManager::GuiManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |   newIDirectInputDevice8A::newIDirectInputDevice8A | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                             Controller::Controller | null.ctor
02/17/2023 08:38:19.350 | DEBUG    |                                     XInput::XInput | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                         InputManager::InputManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                       MemoryManager::MemoryManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                       OffsetManager::OffsetManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                       PacketManager::PacketManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                       PluginManager::PluginManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                 PolPluginManager::PolPluginManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                     PointerManager::PointerManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                 PrimitiveManager::PrimitiveManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                   ResourceManager::ResourceManager | .ctor
02/17/2023 08:38:19.350 | DEBUG    |                             Properties::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                             Properties::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                           InputManager::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                           InputManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                          OffsetManager::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                          OffsetManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                         PointerManager::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                         PointerManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                          MemoryManager::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                             MemoryManager::Release | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                             MemoryManager::Release | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                          MemoryManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                            ChatManager::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                            ChatManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                          PacketManager::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                          PacketManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                          PluginManager::Initialize | <Begin>
02/17/2023 08:38:19.350 | DEBUG    |                          PluginManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.350 | DEBUG    |                       PolPluginManager::Initialize | <Begin>
02/17/2023 08:38:19.371 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'Common': C:\Program Files (x86)\Common Files
02/17/2023 08:38:19.371 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'PlayOnline': G:\PlayOnline\SquareEnix\PlayOnlineViewer
02/17/2023 08:38:19.371 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'FinalFantasyXI': G:\PlayOnline\SquareEnix\Final Fantasy XI
02/17/2023 08:38:19.371 | DEBUG    |                 Sandbox::SandboxPlugin::Initialize | Sandbox using the following path for 'TetraMaster': G:\PlayOnline\SquareEnix\TetraMaster
02/17/2023 08:38:19.372 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: Sandbox - Version: 4.08 - By: atom0s
02/17/2023 08:38:19.376 | INFO     |                                              pivot | Using config file: 'G:\Ashita-v4beta\config\pivot\pivot.ini'
02/17/2023 08:38:19.376 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\pivot\pivot.ini
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | >> pivot settings <<
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | root_path G:\DATs
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | debug_log false
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | redirect_cfw false
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | overlays:
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | [00] XI-View-Icons
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | [01] XI-Vision-Maps
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | [02] HD-Texture-Pack
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | [03] HD-Music-Pack
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | cache: false
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | cache_size: 0
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | cache_max_age: 600
02/17/2023 08:38:19.382 | DEBUG    |                                              pivot | 
02/17/2023 08:38:19.382 | INFO     |                                              pivot | m_logDebug = Discard
02/17/2023 08:38:19.382 | INFO     |                                              pivot | m_rootPath = 'G:\DATs'
02/17/2023 08:38:19.382 | INFO     |                                              pivot | addOverlay: 'XI-View-Icons'
02/17/2023 08:38:19.382 | INFO     |                                              pivot | => success
02/17/2023 08:38:19.382 | INFO     |                                              pivot | addOverlay: 'XI-Vision-Maps'
02/17/2023 08:38:19.382 | WARN     |                                              pivot | WARNING:       12: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/0/12.DAT'
02/17/2023 08:38:19.382 | WARN     |                                              pivot | WARNING:   119051: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/51.DAT'
02/17/2023 08:38:19.382 | WARN     |                                              pivot | WARNING:   119057: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/119/57.DAT'
02/17/2023 08:38:19.385 | WARN     |                                              pivot | WARNING:    91015: ignoring 'G:\DATS/XI-VISION-MAPS//ROM/91/15.DAT'
02/17/2023 08:38:19.387 | INFO     |                                              pivot | => success
02/17/2023 08:38:19.387 | INFO     |                                              pivot | addOverlay: 'HD-Texture-Pack'
02/17/2023 08:38:19.390 | INFO     |                                              pivot | => success
02/17/2023 08:38:19.390 | INFO     |                                              pivot | addOverlay: 'HD-Music-Pack'
02/17/2023 08:38:19.390 | INFO     |                                              pivot | => success
02/17/2023 08:38:19.565 | INFO     |                                              pivot | m_hooksSet = true
02/17/2023 08:38:19.565 | DEBUG    |                             PolPluginManager::Load | Loaded POL plugin: pivot - Version: 4.15 - By: Heals
02/17/2023 08:38:19.565 | DEBUG    |                       PolPluginManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.565 | DEBUG    |                             AshitaCore::Initialize | <End> [Status: Ok!]
02/17/2023 08:38:19.565 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <Begin>
02/17/2023 08:38:19.565 | DEBUG    |                    Ashita::Hooks::DirectX::Install | <End> [Status: Ok!]
02/17/2023 08:38:19.565 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <Begin>
02/17/2023 08:38:19.565 | DEBUG    |                      Ashita::Hooks::Mutex::Install | <End> [Status: Ok!]
02/17/2023 08:38:19.565 | DEBUG    |                   Ashita::Hooks::Registry::Install | <Begin>
02/17/2023 08:38:19.565 | DEBUG    |                   Ashita::Hooks::Registry::Install | <End> [Status: Ok!]
02/17/2023 08:38:19.565 | DEBUG    |                     Ashita::Hooks::Window::Install | <Begin>
02/17/2023 08:38:19.565 | DEBUG    |                     Ashita::Hooks::Window::Install | <End> [Status: Ok!]
02/17/2023 08:38:19.565 | DEBUG    |                     Ashita::Hooks::XInput::Install | <Begin>
02/17/2023 08:38:19.566 | DEBUG    |                     Ashita::Hooks::XInput::Install | <End> [Status: Ok!]
02/17/2023 08:38:22.109 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline Mask window. [dwExStyle: 8][dwStyle: -2130706432][Pos: -1 x -1][Size: 2561 x 1441]
02/17/2023 08:38:22.110 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExW | CreateWindowExW - Creating PlayOnline window. [dwExStyle: 0][dwStyle: 13238272][Pos: -2147483648 x -2147483648][Size: 662 x 524]
02/17/2023 08:38:22.114 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
02/17/2023 08:38:26.332 | DEBUG    |    Ashita::Hooks::DirectX::Mine_DirectInput8Create | DirectInput8Create - Creating new DirectInput instance. [dwVersion: 2048]
02/17/2023 08:39:41.163 | DEBUG    |        Ashita::Hooks::Window::Mine_CreateWindowExA | CreateWindowExA - Creating Final Fantasy XI window. [dwExStyle: 768][dwStyle: 13565952][Pos: -2147483648 x -2147483648][Size: 1940 x 1123]
02/17/2023 08:39:41.205 | DEBUG    |       Ashita::Hooks::DirectX::Mine_Direct3DCreate8 | Direct3DCreate8 - Creating new Direct3D instance. [SDKVersion: 220]
02/17/2023 08:39:41.802 | DEBUG    |                       newIDirect3D8::newIDirect3D8 | .ctor
02/17/2023 08:39:41.802 | DEBUG    |                        newIDirect3D8::CreateDevice | Creating a new graphics device..
02/17/2023 08:39:41.845 | DEBUG    |           newIDirect3DDevice8::newIDirect3DDevice8 | .ctor
02/17/2023 08:39:41.845 | DEBUG    |                             AshitaCore::GameLoaded | GameLoaded event invoked.
02/17/2023 08:39:41.845 | DEBUG    |                           ResourceManager::Release | <Begin>
02/17/2023 08:39:41.845 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
02/17/2023 08:39:41.845 | DEBUG    |                        ResourceManager::Initialize | <Begin>
02/17/2023 08:39:41.845 | DEBUG    |                           ResourceManager::Release | <Begin>
02/17/2023 08:39:41.845 | DEBUG    |                           ResourceManager::Release | <End> [Status: Ok!]
02/17/2023 08:39:41.868 | DEBUG    |                        ResourceManager::Initialize | <End> [Status: Ok!]
02/17/2023 08:39:41.868 | DEBUG    |                            ResourceManager::Update | <Begin>
02/17/2023 08:39:41.868 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\ashita.datmap.ini
02/17/2023 08:39:41.877 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\custom.datmap.ini
02/17/2023 08:39:41.884 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: G:\Ashita-v4beta\\config\\ashita\custom.datmap.ini
02/17/2023 08:39:42.373 | DEBUG    |                            ResourceManager::Update | Resource parsing completed in: 504.402800ms [Status: 1]
02/17/2023 08:39:42.373 | DEBUG    |                            ResourceManager::Update | <End> [Status: Ok!]
02/17/2023 08:39:42.373 | DEBUG    |                               InputManager::Update | <Begin>
02/17/2023 08:39:42.373 | DEBUG    |                                       Mouse::Mouse | .ctor
02/17/2023 08:39:42.373 | DEBUG    |                                  Mouse::Initialize | <Begin>
02/17/2023 08:39:42.373 | DEBUG    |                                  Mouse::Initialize | <End> [Status: Ok!]
02/17/2023 08:39:42.373 | DEBUG    |                             InputManager::SetMouse | Setting new mouse instance..
02/17/2023 08:39:42.373 | DEBUG    |                               InputManager::Update | <End> [Status: Ok!]
02/17/2023 08:39:42.373 | DEBUG    |                              OffsetManager::Update | <Begin>
02/17/2023 08:39:42.373 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\ashita.offsets.ini
02/17/2023 08:39:42.379 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\custom.offsets.ini
02/17/2023 08:39:42.385 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: G:\Ashita-v4beta\\config\\ashita\custom.offsets.ini
02/17/2023 08:39:42.385 | DEBUG    |                              OffsetManager::Update | <End> [Status: Ok!]
02/17/2023 08:39:42.385 | DEBUG    |                             PointerManager::Update | <Begin>
02/17/2023 08:39:42.385 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\ashita.pointers.ini
02/17/2023 08:39:42.392 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\\ashita\custom.pointers.ini
02/17/2023 08:39:42.398 | WARN     |                         ConfigurationManager::Load | Configuration file has invalid section names or no data: G:\Ashita-v4beta\\config\\ashita\custom.pointers.ini
02/17/2023 08:39:42.403 | DEBUG    |                             PointerManager::Update | Pointer: (2032E77C) [Ok!] autofollow
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (2038A815) [Ok!] castbar
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (20436390) [Ok!] chat.addchatmessage
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (204C59E0) [Ok!] chat.inputtext.this
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (20321682) [Ok!] chat.logfile
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (204C8BF0) [Ok!] chat.parseautotranslate
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (203E93D5) [Ok!] chat.parseautotranslate.this
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (203900F0) [Ok!] chat.parseinputtext
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (20390112) [Ok!] chat.parseinputtext.this
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (2038751C) [Ok!] clientversion
02/17/2023 08:39:42.411 | DEBUG    |                             PointerManager::Update | Pointer: (03C96533) [Ok!] config.autodisconnect
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (204C6CF2) [Ok!] config.languagefilter
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (20313840) [Ok!] entitymap
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203A4CCB) [Ok!] entitymap.size
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203FA1A6) [Ok!] inventory
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (20427325) [Ok!] inventory.selecteditem
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (2046D332) [Ok!] menu
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203EC470) [Ok!] packets.decryptbuffer
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203EC340) [Ok!] packets.encryptbuffer
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (2040AFF0) [Ok!] packets.queuepacket1
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203ECAD0) [Ok!] packets.queuepacket2
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (2050E50B) [Ok!] party
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203A828F) [Ok!] party.statusicons
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (2045561A) [Ok!] player
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203F4C90) [Ok!] player.hasability
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203A71A4) [Ok!] player.haskeyitem
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203FECC0) [Ok!] player.hasspell
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203FFBD0) [Ok!] player.joblevels
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (203FFC10) [Ok!] player.jobmasterlevels
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (2039DBDA) [Ok!] player.loginstatus
02/17/2023 08:39:42.415 | DEBUG    |                             PointerManager::Update | Pointer: (2039693F) [Ok!] player.petmp
